index,Datetime1,DAYTON_MW,Datetime,label
0,0,20.867,1/4/2022 0:00,0
1,1,21,1/4/2022 1:00,0
2,2,20.867,1/4/2022 2:00,0
3,3,20.65,1/4/2022 3:00,0
4,4,20.4,1/4/2022 4:00,0
5,5,20.1,1/4/2022 5:00,0
6,6,19.8,1/4/2022 6:00,0
7,7,19.5,1/4/2022 7:00,0
8,8,19.4,1/4/2022 8:00,0
9,9,19.5,1/4/2022 9:00,0
10,10,19.933,1/4/2022 10:00,0
11,11,20.75,1/4/2022 11:00,0
12,12,21.833,1/4/2022 12:00,1
13,13,22.75,1/4/2022 13:00,1
14,14,23.7,1/4/2022 14:00,1
15,15,24.6,1/4/2022 15:00,1
16,16,25.1,1/4/2022 16:00,1
17,18,12.1,1/4/2022 17:00,0
18,19,19.667,1/4/2022 18:00,0
19,20,23.133,1/4/2022 19:00,1
20,21,23.1,1/4/2022 20:00,1
21,22,22.7,1/4/2022 21:00,1
22,23,22.3,1/4/2022 22:00,1
23,0,21.8,1/4/2022 23:00,1
24,1,21.333,1/5/2022 0:00,1
25,2,20.933,1/5/2022 1:00,0
26,3,20.567,1/5/2022 2:00,0
27,4,20.25,1/5/2022 3:00,0
28,5,20.1,1/5/2022 4:00,0
29,6,15.667,1/5/2022 5:00,0
30,7,19.167,1/5/2022 6:00,0
31,8,14.1,1/5/2022 7:00,0
32,9,14.05,1/5/2022 8:00,0
33,10,13.467,1/5/2022 9:00,0
34,11,11.4,1/5/2022 10:00,0
35,12,9.9,1/5/2022 11:00,1
36,13,9.833,1/5/2022 12:00,1
37,14,10,1/5/2022 13:00,0
38,15,13.033,1/5/2022 14:00,0
39,16,9.333,1/5/2022 15:00,1
40,17,12.7,1/5/2022 16:00,0
41,18,12.733,1/5/2022 17:00,0
42,19,15.733,1/5/2022 18:00,0
43,20,16.033,1/5/2022 19:00,0
44,21,16.033,1/5/2022 20:00,0
45,22,16.1,1/5/2022 21:00,0
46,23,12.95,1/5/2022 22:00,0
47,0,23.6,1/5/2022 23:00,1
48,1,26.5,1/6/2022 0:00,1
49,2,25.5,1/6/2022 1:00,1
50,3,24.5,1/6/2022 2:00,1
51,4,23.633,1/6/2022 3:00,1
52,5,23.1,1/6/2022 4:00,1
53,6,22.6,1/6/2022 5:00,1
54,7,14.9,1/6/2022 6:00,0
55,8,14.133,1/6/2022 7:00,0
56,9,22.7,1/6/2022 8:00,1
57,10,23.533,1/6/2022 9:00,1
58,11,23.75,1/6/2022 10:00,1
59,12,24.2,1/6/2022 11:00,1
60,13,24.867,1/6/2022 12:00,1
61,14,25.5,1/6/2022 13:00,1
62,15,26,1/6/2022 14:00,1
63,16,26.267,1/6/2022 15:00,1
64,17,9.633,1/6/2022 16:00,1
65,18,9.267,1/6/2022 17:00,1
66,19,8.85,1/6/2022 18:00,1
67,20,15.6,1/6/2022 19:00,0
68,21,12.267,1/6/2022 20:00,0
69,22,9.067,1/6/2022 21:00,1
70,23,12.467,1/6/2022 22:00,0
71,0,21.35,1/6/2022 23:00,1
72,1,23.967,1/7/2022 0:00,1
73,2,24.4,1/7/2022 1:00,1
74,3,23.9,1/7/2022 2:00,1
75,4,23.3,1/7/2022 3:00,1
76,5,22.8,1/7/2022 4:00,1
77,6,20.8,1/7/2022 5:00,0
78,7,14.967,1/7/2022 6:00,0
79,8,11.7,1/7/2022 7:00,0
80,9,15.6,1/7/2022 8:00,0
81,10,8.4,1/7/2022 9:00,1
82,11,9.067,1/7/2022 10:00,1
83,12,9.967,1/7/2022 11:00,1
