station_id_uuid,sensors__lsid,sensors__data__iss_reception,sensors__data__wind_speed_avg,sensors__data__uv_dose,sensors__data__wind_speed_hi,sensors__data__wind_dir_of_hi,sensors__data__wind_chill,sensors__data__solar_rad_hi,sensors__data__deg_days_heat,sensors__data__thw_index,sensors__data__bar,sensors__data__hum_out,sensors__data__noise_floor_rssi,sensors__data__port_energy_consumed_4,sensors__data__port_energy_consumed_3,sensors__data__port_energy_consumed_2,sensors__data__access_technology,sensors__data__lead_acid_battery_voltage,sensors__data__bluetooth_firmware_version,sensors__data__location_area_code,sensors__data__beacon_interval,sensors__data__port_energy_consumed_1,sensors__data__tz_offset,sensors__data__uv_index_hi,sensors__data__temp_out,sensors__data__temp_out_lo,sensors__data__wet_bulb,sensors__data__temp_out_hi,sensors__data__solar_rad_avg,sensors__data__bar_alt,sensors__data__arch_int,sensors__data__wind_run,sensors__data__solar_energy,sensors__data__dew_point_out,sensors__data__rain_rate_hi_clicks,sensors__data__wind_dir_of_prevail,sensors__data__et,sensors__data__air_density,sensors__data__rainfall_in,sensors__data__heat_index_out,sensors__data__thsw_index,sensors__data__rainfall_mm,sensors__data__night_cloud_cover,sensors__data__deg_days_cool,sensors__data__rain_rate_hi_in,sensors__data__uv_index_avg,sensors__data__wind_num_samples,sensors__data__emc,sensors__data__rain_rate_hi_mm,sensors__data__rev_type,sensors__data__rainfall_clicks,sensors__data__bar_trend_3_hr,sensors__data__pressure_last,sensors__data__door_switch_status,sensors__data__link_layer_packets_received,sensors__data__solar_panel_voltage,sensors__data__rank,sensors__data__creg_cgreg,sensors__data__health_version,sensors__data__false_wakeup_rssi,sensors__data__inside_box_temp,sensors__data__dcell_battery_voltage,sensors__data__cell_id,sensors__data__power_percentage_tx,sensors__data__rssi,sensors__data__last_rx_rssi,sensors__data__power_percentage_mcu,sensors__data__application_firmware_version,sensors__data__mcc_mnc,sensors__data__false_wakeup_count,sensors__data__etx,sensors__data__rpl_mode,sensors__data__uptime,sensors__data__number_of_neighbors,sensors__data__last_parent_rtt_ping,sensors__data__li_ion_cell_voltage,sensors__data__platform_id,sensors__data__cme,sensors__data__power_percentage_rx,sensors__data__rpl_parent_node_id,sensors__data__ts,sensors__data__abs_press,sensors__sensor_type,sensors__data_structure_type,generated_at,station_id
ff244d7d-6d42-4858-ba5f-a5ac5c9a8faf,710321,,,,,,,,,,,,-112,,,,7,7263,null,43648,2097,,-18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,20556,256,17,1,-90,109.8425,,8481292,0,31,-16,6,1684819814,310260,50,0,0,4010980,1,0,,2,551,1,null,1718642700,,502,14,1718738679,181795
,710321,,,,,,,,,,,,-111,,,,7,7243,null,43648,2097,,-18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,20556,256,17,1,-102,109.84625,,8481292,0,29,-14,6,1684819814,310260,32,0,0,4011881,1,0,,2,551,1,null,1718643600,,,,,
,710321,,,,,,,,,,,,-112,,,,7,7248,null,43648,2097,,-18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,20556,256,17,1,-88,109.835,,8481292,0,30,-15,6,1684819814,310260,46,0,0,4012781,1,0,,2,551,1,null,1718644500,,,,,
,710321,,,,,,,,,,,,-112,,,,7,7253,null,43648,2097,,-18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,20556,256,17,1,-100,109.831245,,8481292,0,31,-13,6,1684819814,310260,41,0,0,4013681,1,0,,2,551,1,null,1718645400,,,,,
,710321,,,,,,,,,,,,-110,,,,7,7243,null,43648,2097,,-18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,20556,256,17,1,-102,109.89875,,8481292,0,29,-15,6,1684819814,310260,36,0,0,4014580,1,0,,2,551,1,null,1718646300,,,,,
,710321,,,,,,,,,,,,-109,,,,7,7243,null,43648,2097,,-18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,20556,256,17,1,-100,109.97,,8481292,0,29,-17,6,1684819814,310260,41,0,0,4015481,1,0,,2,551,1,null,1718647200,,,,,
,710321,,,,,,,,,,,,-112,,,,7,7233,null,43648,2097,,-18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,20556,256,17,1,-97,110.015,,8481292,0,30,-16,6,1684819814,310260,44,0,0,4016380,1,0,,2,551,1,null,1718648100,,,,,
,710321,,,,,,,,,,,,-113,,,,7,7228,null,43648,2097,,-18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,20556,256,17,1,-85,110.045,,8481292,0,29,-18,6,1684819814,310260,23,0,0,4017280,1,0,,2,551,1,null,1718649000,,,,,
,710321,,,,,,,,,,,,-113,,,,7,7223,null,43648,2097,,-18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,20556,256,17,1,-96,110.04125,,8481292,0,31,-14,6,1684819814,310260,42,0,0,4018180,1,0,,2,551,1,null,1718649900,,,,,
,710321,,,,,,,,,,,,-110,,,,7,7218,null,43648,2097,,-18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,20556,256,17,1,-100,110.0075,,8481292,0,31,-13,6,1684819814,310260,30,0,0,4019081,1,0,,2,551,1,null,1718650800,,,,,
,710321,,,,,,,,,,,,-109,,,,7,7218,null,43648,2097,,-18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,20556,256,17,1,-101,109.99625,,8481292,0,31,-14,6,1684819814,310260,40,0,0,4019980,1,0,,2,551,1,null,1718651700,,,,,
,710321,,,,,,,,,,,,-114,,,,7,7233,null,43648,2097,,-18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,20456,256,17,1,-101,109.981255,,8481292,0,30,-17,6,1684819814,310260,32,0,0,4020880,1,0,,2,551,1,null,1718652600,,,,,
,710321,,,,,,,,,,,,-112,,,,7,7218,null,43648,2097,,-18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,20556,256,17,1,-101,109.988754,,8481292,0,29,-14,6,1684819814,310260,38,0,0,4021780,1,0,,2,551,1,null,1718653500,,,,,
